DeviceModeId,DeviceTypeId,DeviceModeCode,DeviceModeName,Manufacturer,RatedPower,FactoryModeName
B961F8A6-909E-4526-BC94-01B03D99F0D7,43A89653-168B-46D9-B47D-0B6C773C3AF9,16,SGI 750XTM,动力协合,NULL,
D9E88966-A6CE-47B4-87F5-02DABA865F04,9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,11,TMY-80x8,南网电气,NULL,TMY-80x8
CA887847-AD36-43EE-A088-03B9FA2E9005,B2BAC1C7-CA76-4150-9274-1B82C55DA90F,5,LDK-235P-20,赛维LDK,NULL,LDK-235P-20
78A69727-4B09-4377-84E2-03DEA6246932,641917AE-A7B4-4CA6-8141-B50BC3DEA9D4,14,风电功率预测系统V1.0,国能日新,NULL,风电功率预测系统V1.0
B7581A3A-1A8F-48AF-9443-05F3533A3092,73F532E2-27D5-488C-A618-C84A164C5A6A,14,LW25A-126/T3150A 40kA,西安西电高压开关有限责任公司,NULL,LW25A-126/T3150A 40kA
496B5AB4-2F9A-4E28-BF3D-08C626B2AC14,9BF1D5DF-57F1-4903-B69C-A29329CF6BA3,17,THT-DKSC-800,保定天威恒通电气,NULL,THT-DKSC-800
A3EE7F22-59ED-4A9F-A1BD-08EBA86419DC,E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,8,KYN61-40.5,江苏大全长江电器股份有限公司,NULL,KYN61-40.5
50F65F2A-CBB0-40DA-9155-0B147CFFED78,95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,14,S11-8000/38.5,鲁特电工股份有限公司,NULL,S11-8000/38.5
2B3EEF65-E1CC-4E1C-87DA-0BACD7B3BDAE,43A89653-168B-46D9-B47D-0B6C773C3AF9,18,M175-24-208-SO1/2,Enphase,NULL,
ED088185-A97E-4D8C-B562-0D080B5C0B49,458FB3C3-32BC-48FF-B910-C318C461E635,1,DHSPCB-16-1,成都东方日立,NULL,DHSPCB-16-1
ACC81704-7D92-47DB-AB3F-0D31286B8E5D,41042D23-F3AF-4DC1-AB23-A97950B6DD60,4,XE105-2000DLP,湘电,2000.0000,XE105-2000
