DeviceTypeId,DeviceTypeCode,DeviceTypeName
9E8DC174-A7AC-49E0-B94A-0B4CDC003CBF,507,站内母线
43A89653-168B-46D9-B47D-0B6C773C3AF9,201,集中式逆变器
EF6594F0-8DAF-40B5-93A3-144F12EE8E6C,305,主变
B2BAC1C7-CA76-4150-9274-1B82C55DA90F,509,光伏组件
C8B96B26-9DC8-4B91-8655-22FF6E02A593,304,箱变
0C109926-7918-4B91-9FB1-2F71B28BACD0,503,能量管理平台
7009BB03-B1A3-4EB7-A8C7-342C1F03DCA8,301,升压站
95E6DBCE-806D-4BE4-AC86-3CA2FBA5502C,504,SVG
B273F5A4-FF7E-4D08-89C3-3D36D07140DB,508,CMS系统
4E852BF7-FDAA-4D8C-A13C-4EFD09E4F9F3,505,电能采集
45A400E0-2819-4076-ACE7-6DD8EA520C24,801,全场信息汇总
EE1DCF6C-E060-466F-A5CF-72C4EDAC2B26,501,测风塔
E084FF31-2F1B-4E8B-BFA1-9C82E7B5CE84,302,集电线路
9BF1D5DF-57F1-4903-B69C-A29329CF6BA3,306,站用变
049F4206-7700-4E39-A540-A912DD7FFC66,204,方阵
41042D23-F3AF-4DC1-AB23-A97950B6DD60,101,风电机组
641917AE-A7B4-4CA6-8141-B50BC3DEA9D4,502,功率预测系统
82F9B6A3-4DE6-44A8-B3C3-B71A14917665,701,采集传输
6F131376-CBD2-4CC0-9E0B-C27B9C55B348,206,组串式逆变器
458FB3C3-32BC-48FF-B910-C318C461E635,202,汇流箱
CF4E428C-EF8D-4624-BFBF-C5785F5BB504,303,保护测控
73F532E2-27D5-488C-A618-C84A164C5A6A,307,主进线
C74B7B45-AA89-4E22-AB0F-CABF918EB7DB,506,直流柜
FA7DC619-9F2C-43FB-9E2A-F7166660DDE0,203,气象站
